Property Name,Reported,Tax Parcel,Largest Property Type,Building Address,Zip,Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft²),ENERGY STAR Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link,Property Owner Name,Estimated Total GHG Emissions (kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected)
Work Inc,Reported,1600011000,Office,25 Beach St,2122,130000.0,39.6,91.0,,Office,1910.0,312.3,2.4,5152625.5,0.441,0.5599,,,,,,2.2,Not Available,,,,312300.0,submitted,
451 D St,Reported,602825000,Office,451 D St,2210,477000.0,124.1,14.0,,Office,1909.0,4032.4,8.5,59204751.7,0.8811,0.1189,,,,,,7.15,Not Available,building rehabbed which explains low but increasing gas usage. Resubmission 4/5/21 because gas meter was not selected.,,,4032400.0,submitted,
45 On Burnett Condominium,Submitted with possible data errors,1102605040,Multifamily Housing,45 Burnett Street,2130,47124.0,Not Available,,,Multifamily Housing,2019.0,Not Available,Not Available,Not Available,,,,,,,,21.01,Not Available,,,,,submitted,
MA036_Avalon Exeter (mv60),Reported,401037085,Multifamily Housing,77 Exeter Street,2116,268850.0,39.4,63.0,,Multifamily Housing,2014.0,709.7,2.6,10601440.1,0.8127,0.1873,,,,,,17.43,Not Available,Building first occupied April 2014,,,709700.0,submitted,
MA044_AVA Theater District (vt22),Reported,304910020,Multifamily Housing,45 Stuart St,2116,575120.0,43,78.0,,"Multifamily Housing, Parking",2015.0,1365.5,2.7,21460175.5,0.618,0.382,,,,,,20.27,Not Available,,,,1365500.0,submitted,
MA048_Avalon North Station (mh53),Reported,301922050,Multifamily Housing,1 Nashua Street,2114,536912.0,56.3,64.0,,Multifamily Housing,2017.0,1863.1,3.5,30245413.8,0.4986,0.514,,,,,,23.64,Not Available,,,,1863100.0,submitted,
10-24 School Street,Reported,304718000,Office,10-24 School Street,2108,134789.0,51.9,92.0,"2020, 2019, 2018, 2017, 2016","Data Center, Office, Retail Store",1925.0,478.6,3.6,7001117.5,0.5245,0.1,0.4755,,,,,Not Available,Not Available,,,,478600.0,submitted,
265 Franklin Street,Reported,304035000,Office,265 Franklin Street,2110,413355.0,45.4,83.0,"2020, 2019, 2018, 2017, 2016, 2015","Data Center, Office, Parking",1984.0,1149,3.2,16552956,0.878,,0.1922,,,,,Not Available,Not Available,,,,1149000.0,submitted,
Bowdoin School,Reported,300213000,Multifamily Housing,45 Myrtle Street,2114,26061.0,118.5,3.0,,Multifamily Housing,1977.0,202.1,7.8,3088504.7,0.3156,0.3551,,0.3293,,,,62.96,Not Available,"Built 1900. Heating is oil/gas. Changed gross sq ft to 35000 because was listed as 34,748 and was not adding up ",,,202100.0,submitted,
05050-  South Bay Center 12,Reported,703498010,Movie Theater,25 District Ave,2125,49261.0,112.5,,,Movie Theater,2000.0,576.1,11.7,5540966.3,0.6914,0.386,,,,,,Not Available,Not Available,We are benchmarking just for the portion that AMC Theater leases.,,,576100.0,submitted,
26570 - Boston Commons 19,Reported,304870408,Movie Theater,175 Tremont Street,2111,113000.0,53.2,,,Movie Theater,1990.0,421.3,3.7,6007713.5,1.0,,,,,,,Not Available,Not Available,Reporting was completed by tenant who leases the whole building. Landlord has the water data and AMC is billed for it. ,,,421300.0,submitted,
North End Garage,Reported,301937000,Parking,600 Commercial St.,02109-1015,206277.0,7.1,,,Parking,1925.0,103.2,0.5,1471492.8,1.0,,,,,,,0.2,Not Available,,,,103200.0,submitted,
Motor Mart Garage,Reported,500139000,Parking,201 Stuart Street,2116,471744.0,178.7,,,"Parking, Restaurant",1928.0,576.3,11,9367919.7,0.4936,0.564,,,,,,74.73,Not Available,,,,576300.0,submitted,
384 WARREN STREET,Reported,1200967000,Other - Education,384 WARREN STREET,2119,33750.0,65.2,,,Other - Education,1920.0,127.1,3.8,2199524.9,0.2738,0.7262,,,,,,7.69,Not Available,,,,127100.0,submitted,
103 CLAYTON STREET,Reported,1600579000,Office,103 CLAYTON STREET,2122,40696.0,43.9,86.0,,Office,1912.0,111,2.7,1787613.3,0.5278,0.4722,,,,,,4.97,Not Available,,,,111000.0,submitted,
Tower Point,Reported,602754010,Office,27-43 Wormwood Street,2210,179123.0,57,57.0,,"Data Center, Office, Parking",1890.0,625.7,4,8922294.7,1.0,,,,,,,6.3,Not Available,"Property was acquired by the present owners on May 27, 2017.

Tax Parcel ID - 602754010

2017 data prior to ownership change was manually input. Data was provided by prior owner.",,,625700.0,submitted,
NW 230 Congress Street Property Owner LLC,Reported,304190000,Office,230 Congress Street ,2110,182653.0,139.5,40.0,,"Data Center, Office",1931.0,1776.8,9.7,25486391.8,0.889,,0.111,,,,,10.69,Not Available,,,,1776800.0,submitted,
Sienna Ink Block LLC,Reported,306731010,Multifamily Housing,40 Traveler Street,2118,105793.0,44,88.0,,Multifamily Housing,2018.0,289.6,2.7,4658306.3,0.5316,0.4684,,,,,,15.85,Not Available,,,,289600.0,submitted,
The Vendome,Reported,501383000,Multifamily Housing,160 Commonwealth Ave.,2116,98982.0,65.1,6.0,,Multifamily Housing,1871.0,427.9,4.3,6444269.8,0.788,0.2192,,,,,,40.2,Not Available,,,,427900.0,submitted,
Rockingham Glen - 30&40 Rockingham Ave.,Reported,2003041000,Multifamily Housing,30-40 Rockingham Avenue,2132,142900.0,61.1,92.0,,Multifamily Housing,1974.0,488.4,3.4,8726855.2,0.1677,0.8323,,,,,,33.55,Not Available,,,,488400.0,submitted,
Blake Estates I & II,Reported,1809255000,Multifamily Housing,1344 Hyde Park Avenue,2136,193000.0,59.5,80.0,,Multifamily Housing,1980.0,659,3.4,11478493.5,0.2523,0.7477,,,,,,31.23,Not Available,Also Includes ID 1809255010,,,659000.0,submitted,
Omni Parker House,Reported,304696000,Hotel,60 School Street,2108,338000.0,82.3,85.0,,Hotel,1855.0,1833.5,5.4,27818120.1,0.2522,0.176,0.642,,,,,36.09,Not Available,,,,1833500.0,submitted,
Smiley 4 Alger LLC,Submitted with possible data errors,700027000,Non-Refrigerated Warehouse,4 Alger Street,2127,95269.0,Not Available,,,Non-Refrigerated Warehouse,1940.0,0,0,Not Available,,,,,,,,0.77,Not Available,,,,0.0,submitted,
371 Smiley Dorchester LLC,Reported,00014-000,Office,371-385 Dorchester Ave,2127,144888.0,4.6,,,Office,1980.0,46.8,0.3,667133.9,1.0,,,,,,,2.19,Not Available,,,,46800.0,submitted,
Smiley Alger LLC,Submitted with possible data errors,700027001,Non-Refrigerated Warehouse,2 Alger Street,2127,42800.0,Not Available,,,Non-Refrigerated Warehouse,1966.0,0,0,Not Available,,,,,,,,0.16,Not Available,,,,0.0,submitted,
Susan Bailis Assisted Living,Reported,402350010,Senior Care Community,352 Mass ave,2115,59999.0,65.4,,,"Parking, Retail Store, Senior Care Community",2003.0,217.3,4.3,3281444,0.7698,0.232,,,,,,288.65,Not Available,,,,217300.0,submitted,
Gateway Terrace Condominium (40Fay)(Hallet),Reported,306390010,Other - Lodging/Residential,40 Fay Street,2118,38758.0,51,,,Other - Lodging/Residential,2005.0,118.9,3.1,1978453.5,0.489,0.5911,,,,,,31.39,Not Available,"Condominium Building.  No Standalone parking garages.  Parking garage located under 35 Fay Street building. 

35 Fay Street & 1166 Washington Street have the same Parcel ID # (0306396010) 
40 Fay Street has it's own Parcel ID #  (0306390010 - 40 Fay St parcel #) ",,,118900.0,submitted,
Gateway Terrace Condominium (1166W + 35Fay)(Vose + Emerson),Reported,306396010,Other - Lodging/Residential,"1166 Washington Street, 35 Fay Street",2118,93317.0,60.9,,,Other - Lodging/Residential,2005.0,344,3.7,5685682.2,0.4342,0.5658,,,,,,36.38,Not Available,"Condominium Building.  No Standalone parking garages.  Parking garage located under 35 Fay Street building. 

35 Fay Street & 1166 Washington Street have the same Parcel ID # (0306396010) 
40 Fay Street has it's own Parcel ID #  (0306390010 - 40 Fay St parcel #) 

",,,344000.0,submitted,
Waverly (wv000),Reported,2200716000,Multifamily Housing,9 Bronsdon Street,2135,113294.0,80.3,56.0,,Multifamily Housing,1970.0,521.7,4.6,9096161,0.2492,0.758,,,,,,28.54,Not Available,,,,521700.00000000006,submitted,
The Portland Group Boston,Reported,00958-000,Distribution Center,82 Gerard Street,2119,42030.0,56.6,48.0,,Distribution Center,1925.0,131.9,3.1,2380640,0.1341,0.8659,,,,,,0.69,Not Available,Entered monthly usage from actual bills. ,,,131900.0,submitted,
303 Congress Street,Reported,602691000,Office,305 Congress Street,2210,74673.0,34.2,92.0,,Office,2000.0,167.3,2.2,2552521.7,0.739,0.2691,,,,,,6.78,Not Available,,,,167300.0,submitted,
214 Newbury Street,Reported,0503227000 & 0503226000,Other - Mall,206-214 Newbury Street,2116,41060.0,18.5,,,Other - Mall,1899.0,52.7,1.3,758625.7,0.9575,0.425,,,,,,1.26,Not Available,,,,52700.0,submitted,
601 Boylston Street,Reported,501308000,Office,601 Boylston Street,2116,47583.0,52.9,78.0,,Office,1962.0,159.4,3.3,2517809.7,0.598,0.42,,,,,,8.07,Not Available,,,,159400.0,submitted,
211 Congress Street,Reported,304398000,Office,211 Congress Street,2110,78101.0,55.8,86.0,,Office,1922.0,262,3.4,4361818.9,0.489,0.5911,,,,,,7.08,Not Available,,,,262000.0,submitted,
One Faneuil Hall Square,Reported,303675000,Office,One Faneuil Hall Square,2109,44287.0,58.3,76.0,,"Office, Retail Store",1980.0,159.4,3.6,2580791.4,0.588,0.4912,,,,,,0.85,Not Available,,,,159400.0,submitted,
7 Sherman St.,Reported,201864000,Other - Services,7 Sherman St.,2129,39000.0,123.5,,,Other - Services,1920.0,269.9,6.9,4818328.3,0.2538,0.7462,,,,,,22.66,28525,,,,269900.0,submitted,
Harvard Vanguard Medical,Reported,2006994100,Medical Office,291 Independence Drive,2467,119908.0,100.1,66.0,,"Medical Office, Parking",1984.0,282.6,6.3,4455169.5,0.665,0.3935,,,,,,6.39,Not Available,,,,282600.0,submitted,
Harvard Vanguard Medical Associates,Reported,2100074000,Medical Office,133 brookline Ave,2215,395667.0,153.4,,,"Data Center, Medical Office, Parking",1900.0,2620.2,9.4,42748482.9,0.487,0.5193,,,,,,580.29,Not Available,This was first reported without a data center in error Data center Added,,,2620200.0,submitted,
Embassy Suites Boston Logan Airport,Reported,104102000,Hotel,167 Cottage Street,2128,398000.0,46,100.0,,"Heated Swimming Pool, Hotel, Parking",2003.0,815.6,2.8,13235819.9,0.4997,0.53,,,,,,11.09,Not Available,City of Boston parcel ID 0104102000.  167 Cottage St/ 207 Porter St. East Boston,,,815600.0,submitted,
Nisson Family Trust,Submitted with possible data errors,1801024000,Other - Mall,1618-1634 Blue Hill Avenue,2126,20701.0,Not Available,,,Other - Mall,1925.0,Not Available,Not Available,Not Available,,,,,,,,Not Available,Not Available,,,,,submitted,
SHORE PLAZA EAST - 730 BORDER ST: 26850520011,Reported,103678000,Multifamily Housing,730 Border St.,2128,12000.0,758.4,,,Multifamily Housing,1975.0,638.3,53.2,9101185.8,1.0,,,,,,,Not Available,Not Available,,,,638300.0,submitted,
Landfall West Apartments 401 BORDER ST: 26291321003,Reported,103613000,Multifamily Housing,401 Border St.,2128,51488.0,17,100.0,,Multifamily Housing,1975.0,61.3,1.2,874420.5,1.0,,,,,,,29.77,Not Available,,,,61300.0,submitted,
South Cove Plaza East - 285 TREMONT: 26145951005,Reported,500066000,Multifamily Housing, 285 TREMONT,2116,85986.0,25.5,94.0,,Multifamily Housing,1975.0,153.5,1.8,2189139.2,1.0,,,,,,,70.81,Not Available,,,,153500.0,submitted,
South Cove Plaza West - 230 STUART ST: 26090791000,Reported,500800000,Multifamily Housing,230 Stuart Street,2116,135160.0,25.2,94.0,,Multifamily Housing,1975.0,239,1.8,3407389.6,1.0,,,,,,,66.1,Not Available,,,,239000.0,submitted,
Belgrade Place LLC,Reported,2005737000,Multifamily Housing,446 Belgrade Ave,2132,65574.0,46.2,71.0,,"Multifamily Housing, Parking",2012.0,132.8,3,2021194.3,0.7392,0.268,,,,,,30.94,Not Available,,,,132800.0,submitted,
Pilot House,Reported,303034000,Office,32 Atlantic Avenue,2110,43518.0,66.4,66.0,,Office,1945.0,178.6,4.1,2890693.5,0.51,0.49,,,,,,6.85,Not Available,"During 2017:  From March 2017 - November 2017, approximately 5,700 gross square feet of office space was renovated to upgrade the HVAC system and interior finishes.

During 2019/2020: Replaced PH roof and cooling tower, built new rooftop mechanical room, relocated boiler to 6th floor.",,,178600.0,submitted,
2 Atlantic,Reported,303030010,Office,2 Atlantic Avenue,2110,128524.0,121.9,41.0,,"Office, Parking",1998.0,507.6,7.5,8291033,0.4766,0.5234,,,,,,12.52,Not Available,"During 2014:  Construction renovation project on 3rd floor (about 18% of Building rsf) completed around July 2014. Mechanical system upgrade on 3rd floor completed around January 2015. Glycol system flush out occurred during November/December 2014.

During 2015:  Construction renovation project on the 4th floor; constructed intercommunicating stairway between the 3rd & 4th floors; additional rework construction on 3rd floor. These construction projects were completed around March 31, 2016.  Upgraded and replaced the cooling tower and roof, both of which were completed around February 2016.

During 2019:  In February 2020, we discovered that a diverter valve relating to gas usage for heating the boiler was stuck in an open position for most of 2019.  This resulted in excessive gas consumption for all of 2019.

During 2020:  See above ""2019"", excess gas usage thru March 2020 due to diverter valve malfunction.  Provided temporary HVAC for PH during roof replacement and new cooling tower. ",,,507600.0,submitted,
Pier 4,Reported,602672030,Office,200 Pier 4 Boulevard,2210,394245.0,41.6,90.0,2020,"Fitness Center/Health Club/Gym, Office, Restaurant",2017.0,1073.6,2.7,16393611.5,0.7273,0.2727,,,,,,9.59,Not Available,"Pier 4 is a stunning 13-story, LEED Gold, trophy asset in Boston’s dynamic Seaport District. Developed in 2018, Pier 4 features floor- to- ceiling glass and is surrounded by three sides of waterfront exposure. Expansive floor plates, innovative finishes, a state-of-the-art fitness center, and a rooftop garden terrace, all enhance its remarkable elegance. The building is 394,245 Sq. Ft.",,,1073600.0,submitted,
131 Dartmouth Street,Reported,400572000,Office,131 Dartmouth Street,2116,673249.3,59.9,74.0,"2018, 2017, 2016","Data Center, Office, Parking",2003.0,1568.9,4.2,22370402.5,1.0,,,,,,,11.58,Not Available,"Water meters have abatement meters for irrigation and cooling tower. Square footage for Building and garage are best estimates.

There are two property parcel ID
0400572000
0400574000

We are using the two portal meters (active, and squeezed off)

",,,1568900.0,submitted,
53 State Street,Reported,303870000,Office,53 State Street,2109,1261269.0,50.1,83.0,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2010, 2009, 2008","Bank Branch, Convenience Store without Gas Station, Fitness Center/Health Club/Gym, Office, Parking, Restaurant",1985.0,4238.1,3.5,61293702.8,0.7357,,0.2643,,,,,6.22,Not Available,BERDO 2020 Data Verification Completed 04/13/2021,,,4238100.0,submitted,
15 Broad St,Reported,303836000,Office,15 Broad Street,2109,77678.0,76.5,79.0,,Office,1908.0,340.3,4.4,5940828.7,0.2445,,,,,,,11.2,Not Available,,,,340300.0,submitted,
Newfield Woods Condo ASC,Reported,2007665010,Multifamily Housing,97 Anderer LN,2132,71121.0,32.1,98.0,,Multifamily Housing,1990.0,139.8,2,2283341.4,0.476,0.524,,,,,,54.03,Not Available,,,,139800.0,submitted,
Reservoir Towers: Reservoir Towers,Reported,2102474000,Multifamily Housing,CHESNUT HILL AVE/ 1925 Commonwealth,2135,225370.0,61.4,81.0,,Multifamily Housing,1978.0,803.4,3.6,13829641.5,0.2925,0.775,,,,,,44.75,Not Available,"Alternative address 1925 Commonwealth - listed as 271 Chestnut Hill on CBL. 

2020 modifications:  2 new chillers and new boiler ",,,803400.0,submitted,
Grant Manor: Grant Manor,Reported,801675000,Multifamily Housing,1810-1854 Washington Street,2118,209882.0,87.5,32.0,,Multifamily Housing,1999.0,1047.2,5,18369663,0.2287,0.7713,,,,,,68.56,Not Available,"Aggregate of 6 buildings on the parcel - all one property for Grant Manor Apartments. 
5/31/2019: Got confirmation from Eversource that the energy usage provided this year is accurate - previously was not (too high)",,,1047200.0,submitted,
Bay Cove Human Services,Reported,301612000,Office,157-159 Friend Street,2114,54893.0,54.5,90.0,,"Office, Urgent Care/Clinic/Other Outpatient",1899.0,182.3,3.3,2989157.2,0.4626,0.5374,,,,,,639.98,Not Available,"Clinic Square Feet is estimated, thus resulting in estimated use of office space",,,182300.0,submitted,
BRE-BMR Congress LLC,Reported,602678701,Financial Office,601 Congress Street,2210,617253.0,24.9,,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007, 2006","Data Center, Financial Office, Parking",2004.0,916.6,1.7,13073930.7,0.9989,0.11,,,,,,3.48,Not Available,"LEED project ID - 1000005675

Electricity Meter data is stored in property code 15001. 
",,,916600.0,submitted,
BMR-Blackfan Circle LLC,Reported,401853022,Laboratory,3 Blackfan Circle,2115,1072369.0,414.3,,,"Laboratory, Parking, Restaurant",2008.0,18790.9,24.7,315439420.2,0.3794,0.626,,,,,,43.23,Not Available,"Number of occupants and number of computers is estimated.
The parking garage under the building is included in the whole building electricity data and uses an estimated 356,000 kWh per year. The parking garage is also a condominium and is lot number 0401853020.",,,18790900.0,submitted,
Nine Zero - SV,Reported,304697000,Hotel,90 Tremont Street,2108,190440.0,105.3,62.0,,Hotel,2001.0,1172.4,6.2,20061799,0.3129,0.6871,,,,,,14.79,Not Available,,,,1172400.0,submitted,
Onyx Hotel,Reported,301646010,Hotel,155 Portland Street,2114,65605.0,65.1,91.0,,"Hotel, Parking",2004.0,240.5,4,3909951.7,0.494,0.56,,,,,,30.83,Not Available,,,,240500.0,submitted,
Shubert Theatre,Reported,500063000,Performing Arts,263-265 Tremont Steet,2116,24622.0,103.7,,,Performing Arts,1910.0,143.3,5.8,2552187,0.1773,0.8227,,,,,,1.37,Not Available,,,,143300.0,submitted,
Wang Theatre,Reported,305651000,Performing Arts,270 Tremont Street,2116,88434.0,62,,,Performing Arts,1925.0,371.9,4.2,5485142.8,0.587,0.374,0.4539,,,,,590.62,Not Available,,,,371900.0,submitted,
House of Blues Boston,Reported,504193000,Performing Arts,15 Lansdowne Street,2215,35000.0,116.2,,,Performing Arts,2009.0,260.6,7.4,4067516.1,0.6442,0.3558,,,,,,19.22,Not Available,Data entered manually from bills,,,260600.00000000003,submitted,
The Colonnade Residences,Reported,400905010,Multifamily Housing,118 Huntington Avenue,2116,177200.0,137.8,,,"Multifamily Housing, Parking",2002.0,1412.8,8.2,23696569.4,0.3824,0.6176,,,,,,22.99,Not Available,"99 unit apartment building.  Apartments only (plus parking garage)
",,,1412800.0,submitted,
Charlestown Battalion Armory,Reported,201186050,Multifamily Housing,374-398 Bunker Hill Street,2129,77807.0,43.3,90.0,,"Multifamily Housing, Parking",2016.0,130.8,2.8,2058598.8,0.6131,0.3869,,,,,,26.09,Not Available,,,,130800.0,submitted,
On the Fens Condominium,Reported,401719000,Multifamily Housing,70 & 74 Fenway,2115,16459.0,77.3,,,Multifamily Housing,1981.0,78.8,4.8,1272316.3,0.5178,0.4822,,,,,,74.61,Not Available,,,,78800.0,submitted,
Riverway Square Condominium,Reported,402005000,Multifamily Housing,even only 114-122 Riverway,2215,64400.0,106.8,63.0,,Multifamily Housing,1920.0,381.5,5.9,6877584.2,0.1384,0.8616,,,,,,28.97,Not Available,,,,381500.0,submitted,
Mountfort Place Condo Trust,Reported,2100256000,Multifamily Housing,120 Mountfort Street,2215,35800.0,63.6,54.0,,Multifamily Housing,2005.0,137.9,3.9,2278266,0.4359,0.5641,,,,,,43.81,Not Available,,,,137900.0,submitted,
Fenway Views Condominium,Reported,2100033010,Multifamily Housing,"104, 106 &108 Peterborough Street, 51-67 Kilmarnock Street",2215,44927.0,75.6,90.0,,"Multifamily Housing, Parking",1990.0,179.3,4.1,3271018.9,0.14,0.8996,,,,,,82.77,Not Available,,,,179300.0,submitted,
Twenty-One Beacon Condominium,Reported,302807000,Multifamily Housing,21 Beacon Street,2108,94785.0,133.4,18.0,,"Convenience Store without Gas Station, Multifamily Housing, Office, Other - Restaurant/Bar",1900.0,723.7,7.6,12642238.9,0.2425,0.7575,,,,,,52.29,Not Available,,,,723700.0,submitted,
Somerset Condominium,Reported,503809000,Multifamily Housing,"400, 416, 418 Commonwealth Ave, 429 Newbury Street",2215,155880.0,59.1,89.0,,"Multifamily Housing, Office",1897.0,603.1,3.9,9219451.7,0.723,0.277,,,,,,29.08,Not Available,,,,603100.0,submitted,
Fenmore Condominium,Reported,504165000,Multifamily Housing,"1109-1111 Boylston Street, 50, 52, 56, 60 and 64 Charlesgate East",2215,107517.0,97.8,77.0,,Multifamily Housing,1930.0,583.6,5.4,10520068,0.1388,0.8612,,,,,,56.34,Not Available,,,,583600.0,submitted,
Windsor Place Condominium,Reported,503810000,Multifamily Housing,"388, 390 and 396 Commonwealth Avenue",2215,120295.0,68.3,69.0,,"Multifamily Housing, Office",1897.0,489,4.1,8220835,0.3743,0.6257,,,,,,26.17,Not Available,,,,489000.0,submitted,
Jamaicaway Place Condo,Reported,1001609000,Multifamily Housing,40-50-60 Jamaicaway,2130,25400.0,102.9,38.0,,Multifamily Housing,1982.0,145.4,5.7,2614026.2,0.1465,0.8535,,,,,,46.82,Not Available,,,,145400.0,submitted,
Arborway Gardens Condominium,Reported,1102640000,Multifamily Housing,"461, 463, 467, 469, 493, 495 Arborway, ",2130,150172.0,105.9,19.0,,Multifamily Housing,1950.0,868.3,5.8,15907354.5,0.864,0.9136,,,,,,26.78,Not Available,,,,868300.0,submitted,
Fenway By The Park Condominium,Reported,504275000,Multifamily Housing,125-131 Park Drive,2215,49150.0,89.3,73.0,,Multifamily Housing,1950.0,244.7,5,4387659.9,0.1565,0.8435,,,,,,41.76,Not Available,,,,244700.0,submitted,
Lincoln Halls at Park Drive Condominium,Reported,504213000,Multifamily Housing,11-15 Park Drive,2215,52865.0,73.1,87.0,,Multifamily Housing,1920.0,215.8,4.1,3863519.9,0.1617,0.8383,,,,,,32.52,Not Available,,,,215800.0,submitted,
The Schoolhouse on Monument Square Condominium,Reported,203150000,Multifamily Housing,30 Monument Square,2129,82263.0,44.6,59.0,,"Multifamily Housing, Parking",1986.0,214.1,3.2,2981016.9,0.5826,,,0.4174,,,,14.65,Not Available,,,,214100.0,submitted,
Peterborough Gardens Condo,Reported,504236000,Multifamily Housing,24 and 30 Peterborough Street,2215,24432.0,104.9,39.0,,Multifamily Housing,1987.0,144.1,5.9,2563742.6,0.1816,0.8184,,,,,,36.44,Not Available,,,,144100.0,submitted,
The 51 Park drive,Reported,504250000,Multifamily Housing,51 park drive,2215,18322.0,56.9,93.0,,Multifamily Housing,1920.0,62.9,3.4,1043093.5,0.427,0.5793,,,,,,60.23,Not Available,,,,62900.0,submitted,
56 & 60 Commonwealth Condominium,Voluntary,501274000,Multifamily Housing,56 and 60 Commonwealth,2116,17839.0,90.5,71.0,,"Multifamily Housing, Parking",1929.0,90.6,5.1,1613572.8,0.1785,0.8215,,,,,,38.55,Not Available,,,,90600.0,submitted,
Peterborough Condo,Reported,504224000,Multifamily Housing,82 & 86 Jersey Street,2115,23803.0,105.1,43.0,,Multifamily Housing,1920.0,140.3,5.9,2502839.2,0.1737,0.8263,,,,,,56.45,Not Available,,,,140300.0,submitted,
Bowdoin  Place Condominium,Reported,302726010,Multifamily Housing,10 Bowdoin Street,2114,112888.0,2.1,100.0,,Multifamily Housing,2004.0,16.9,0.1,240607.4,1.0,,,,,,,67.42,Not Available,,,,16900.0,submitted,
East Coast Condominium,Voluntary,303471000,Multifamily Housing,"122, 130 Fulton Street",2109,24455.0,55,58.0,,Multifamily Housing,1900.0,81,3.3,1344911.3,0.4162,0.5838,,,,,,26.72,Not Available,,,,81000.0,submitted,
1091 Boylston Street Condominium,Reported,504162000,Multifamily Housing,1091 Boylston,2215,19161.0,132.7,43.0,,Multifamily Housing,1920.0,139.9,7.3,2543073.3,0.1119,0.8881,,,,,,52.38,Not Available,,,,139900.0,submitted,
Shipways Condominium,Reported,203515600,Multifamily Housing,1-48 Shipway Place,2129,106393.0,5.8,100.0,,"Multifamily Housing, Office, Parking",1984.0,37.4,0.4,533872.2,1.0,,,,,,,36.06,Not Available,,,,37400.0,submitted,
The Atlantic Building,Reported,302960000,Office,400 Atlantic Avenue,2210,104690.0,54.7,89.0,,Office,1984.0,364.2,3.5,5726392.8,0.6166,0.3834,,,,,,7.06,Not Available,,,,364200.0,submitted,
99 Bedford Street,Reported,304245000,Office,99 Bedford Street,2111,93779.0,60.7,80.0,"2020, 2019, 2018, 2017, 2016, 2015, 2012",Office,1874.0,356,3.8,5694538.4,0.5526,0.4474,,,,,,5.96,Not Available,,,,356000.0,submitted,
Independence Wharf,Reported,302956000,Office,470 Atlantic Avenue,2210,364347.0,40.3,92.0,"2019, 2018","Financial Office, Office, Parking",2001.0,934.6,2.8,13548795.9,0.6913,,0.387,,,,,29.09,Not Available,Revised Occupancy; Financial Office Use - dropped # persons/computers 7/1/18 for Numeric move out,,,934600.0,submitted,
Constellation Wharf Condominium,Reported,203516001,Multifamily Housing,Pier 7 Ninth Street,2129,177451.0,3,100.0,,"Multifamily Housing, Parking",1986.0,34.7,0.2,494903.8,1.0,,,,,,,16.44,Not Available,,,,34700.0,submitted,
Peterborough Housing:  35-45 Peterborough St,Reported,504221000; 0504222000; 0504223000; 0504220000,Multifamily Housing,35-45 Peterborough St,2215,47185.0,88,40.0,,Multifamily Housing,1978.0,305,6.5,4151076.4,0.189,,,0.8191,,,,65.17,Not Available,"Boston Energy Reporting ID: 504221000; 0504222000; 0504223000; 0504220000
",,,305000.0,submitted,
Peterborough Housing: 36-46 Peterborough,Reported,504232000; 504233000; 504234000; 504235000,Multifamily Housing,36-46 Peterborough Street,2215,49945.0,105.7,89.0,,Multifamily Housing,1978.0,387.9,7.8,5278044.2,0.174,,,0.826,,,,87.13,Not Available,"Building split up over four parcel ID #'s 504232000; 504233000; 504234000; 504235000
 ",,,387900.0,submitted,
Peterborough Housing: 72-82 Peterborough St,Reported,0504308000;0504307000;0504306000;0504305000;0504304000,Multifamily Housing,72-82 Peterborough Street,2215,113192.0,63.8,57.0,,Multifamily Housing,1978.0,493.9,4.4,7223484.6,0.1789,0.2422,,0.5788,,,,34.51,Not Available,4 Oil accounts listed in Utility tab ,,,493900.0,submitted,
Peterborough Housing (Parent Account),Reported,"504232000; 504233000; 504234000; 504235000; 504221000; 0504222000; 0504223000; 0504220000; 0504308000,0504307000,0504306000,0504305000,0504304000",Multifamily Housing,"36-46, 35-45, 72-82 Peterborough St",2215,210322.0,79.2,35.0,,Multifamily Housing,1978.0,1186.8,5.6,16652605.2,0.1778,0.151,,0.7171,,,,53.88,Not Available,,,,1186800.0,submitted,
1444,Reported,2101819000,Multifamily Housing,1442 1444 Commonwealth Ave,2135,25913.0,68,87.0,,Multifamily Housing,1920.0,129,5,1761826.4,0.1349,0.215,,0.8437,,,,24.54,Not Available,not all units rented due to remodeling,,,129000.0,submitted,
Adams House Condominiums,Reported,1602997000,Multifamily Housing,59 Msgr Lydon Way,2124,55060.0,35.8,73.0,,"Multifamily Housing, Parking",1987.0,100.7,2.5,1436120.4,1.0,,,,,,,36.87,Not Available,"This is an all-electric building - no natural gas lines into it.  No oil tanks.
Using LED bulbs in all hallways.

Tax Parcel:  1602997000

Jan 2021 is estimate for electricity.",,,100700.0,submitted,
